ID#,State,LOT,Information[Bedroom],Type,Informative[Rooms],Built,Internet,Water,Information[Zestimate],SecMtg 2,SecMtgStat2,FamEmp 2,ChildAge 2,Language,Family,Grandparent,SSMC,English,Multigen,Move,Nchildren,Npersons Imputation,Partner,Under18,Over60,Over65,Workers 2,WkExp 2,WkStatus 2,Vehicles,HiValue,Validation
1,42,1,4,3,9,4,1,600,205000,0,,4,4,1,1,0,0,1,1,6,0,2,0,0,2,2,1,8,9,2,0,Validation
2,42,1,2,1,4,4,1,2,5000,,,4,4,1,1,0,0,1,1,6,0,2,0,0,1,0,0,9,9,0,0,Training
3,10,1,3,3,6,1,1,400,280000,0,3,1,1,1,1,0,0,1,1,4,2,4,0,1,0,0,2,1,1,2,0,Training
4,24,2,4,2,7,6,1,2,1400000,0,3,4,9,1,1,0,0,1,1,6,9,9,0,0,2,2,0,9,9,2,0,Training
5,42,2,3,2,10,10,1,2,250000,0,3,1,4,1,1,0,0,1,1,4,0,2,0,0,0,0,2,1,1,0,0,Test
6,42,1,4,2,8,5,1,2,380000,0,3,1,4,1,1,0,0,1,1,6,0,2,0,0,0,0,2,1,1,2,0,Training
7,24,1,3,3,6,7,1,50,175000,,,,,1,4,0,0,1,1,5,0,2.396758494,0,0,1,0,,,,1,0,Training
8,24,1,4,2,9,8,1,400,390000,0,3,,,1,4,0,0,1,1,5,0,2.667547947,0,0,0,0,,,,2,0,Training
9,42,3,2,2,5,6,3,2,300000,0,3,1,4,1,1,0,0,1,1,6,0,2,0,0,0,0,2,1,1,1,0,Training
10,42,1,3.257647776,2,7.334741026,1,2,100,278415.0643,0,,,,1,4,0,0,1,1,7,0,2.415609119,0,0,1,1,,,,1,0,Validation
11,42,1,4,2,7,3,1,1000,500000,0,,2,4,1,1,0,0,1,1,6,0,2,0,0,2,2,1,3,3,2,0,Validation
12,24,1,5,2,12,18,1,260,670000,0,3,2,1,2,1,0,0,1,1,2,1,3,0,1,0,0,1,6,3,2,1,Training
13,42,1,3.257647776,3,7.334741026,8,1,600,278415.0643,0,3,,,1,6,0,0,1,1,5,0,2.415609119,0,0,1,0,,,,1,0,Training
14,24,1,4,2,8,5,1,320,700000,0,,1,4,1,1,0,0,1,1,6,0,2,0,0,2,1,2,1,1,2,0,Validation
15,24,1,4,2,7,6,1,1200,325000,0,3,4,9,1,1,0,0,1,1,3,9,9,0,0,1,1,0,9,9,3,0,Training
16,42,1,3.257647776,2,7.334741026,1,1,550,278415.0643,0,3,1,1,1,1,0,0,1,1,3,2,4,0,1,0,0,2,4,1,2,0,Validation
17,42,1,3,2,5,1,3,880,30000,0,3,,,1,6,0,0,1,1,4,0,2.428519819,0,0,0,0,,,,1,0,Training
18,10,1,3,2,6,7,1,2,175000,0,3,3,4,1,1,0,0,1,1,6,0,2,0,0,2,1,1,3,7,2,0,Training
19,10,1,3,2,9,3,1,600,275000,0,,4,4,1,1,0,0,1,1,6,0,2,0,0,1,0,1,6,9,3,0,Training
20,42,1,3.257647776,2,7.334741026,2,3,1000,278415.0643,0,,,,1,4,0,0,1,1,6,0,2.699121678,0,0,0,0,,,,3,0,Training
21,42,1,3,3,6,1,3,480,100000,,,,,1,6,0,0,1,1,7,0,2.404493917,0,0,1,1,,,,1,0,Validation
22,24,1,3.257647776,3,7.334741026,6,1,120,278415.0643,0,3,,,1,6,0,0,1,1,5,0,2.27385284,0,0,1,0,,,,0,0,Training
23,42,1,3.257647776,3,7.334741026,1,1,40,278415.0643,0,3,1,4,1,1,0,0,1,1,3,0,2,0,0,0,0,2,2,1,2,0,Validation
24,42,1,3,2,7,5,3,500,350000,0,,4,4,1,1,0,0,1,1,7,0,2,0,0,2,2,0,9,9,2,0,Test
25,42,1,2,3,7,1,3,950,30000,0,3,,,1,6,0,0,1,1,5,0,2.193280899,0,0,1,1,,,,1,0,Training
26,24,1,4,2,10,5,1,520,650000,0,3,2,2,1,1,0,0,1,1,3,1,3,0,1,0,0,2,2,3,3,1,Training
27,42,2,2,2,5,7,1,2,180000,0,,,,1,7,0,0,1,1,2,9,8.977354988,4,0,1,0,,,,2,0,Training
28,42,1,4,3,8,1,1,500,390000,0,3,1,3,1,1,0,0,1,1,4,2,4,0,1,0,0,2,1,1,2,0,Validation
29,24,1,4,2,9,1,1,520,1100000,1,2,,,1,4,0,0,1,1,7,0,2.452562995,0,0,1,1,,,,1,0,Training
30,24,1,4,2,8,4,1,400,200000,0,,,,1,6,0,0,1,1,7,9,9.186370555,0,0,1,1,,,,1,0,Training
31,24,1,3.257647776,3,7.334741026,7,1,1,278415.0643,0,3,1,1,1,1,0,0,1,1,4,2,4,0,1,0,0,2,2,1,2,0,Training
